Spect   V	  III	   II	    I	   IV
O5  -0.33	-0.33	-0.32	-0.33	-0.33
O6	-0.32	-0.32	-0.32	-0.32	-0.32
O7	-0.32	-0.32	-0.32	-0.32	-0.32
O8	-0.31	-0.31	-0.31	-0.30	-0.31
O9	-0.31	-0.31	-0.29	-0.27	-0.31
B0	-0.30	-0.30	-0.28	-0.23	-0.30
B1  -0.27	-0.27	-0.26	-0.19	-0.27
B2	-0.25	-0.24	-0.23	-0.16	-0.24
B3	-0.21	-0.20	-0.20	-0.13	-0.20
B5	-0.17	-0.16	-0.16	-0.09	-0.17
B6	-0.15	-0.14	-0.14	-0.07	-0.15
B7	-0.13	-0.12	-0.12	-0.05	-0.13
B8	-0.10	-0.10	-0.10	-0.03	-0.10
B9	-0.07	-0.07	-0.07	-0.01	-0.07
A0	-0.02	-0.02	-0.02	 0.01	-0.02
A1	0.02	0.02	0.02	 0.03	0.02
A2	0.05	0.04	0.04	 0.05	0.05
A3	0.09	0.08	0.07	 0.06	0.09
A5	0.15	0.15	0.12	 0.09	0.15
A7	0.20	0.20	0.18	 0.13	0.20
F0	0.30	0.28	0.25	 0.20	0.29
F2	0.36	0.34	0.30	 0.26	0.35
F5	0.44	0.43	0.38	 0.39	0.43
F8	0.52	0.54	0.58	0.58	0.53
G0	0.58	0.65	0.72	0.75	0.59
G2	0.62	0.75	0.78	0.90	0.63
G5	0.68	0.86	0.90	1.08	0.72
G8	0.75	0.94	0.95	1.22	0.83
K0	0.82	1.01	1.10	1.35	0.95
K1	0.86	1.08	1.21	1.45	1.02
K2	0.91	1.16	1.30	1.50	1.08
K3	0.97	1.29	1.40	1.55	   -
K5	1.15	1.51	1.54	1.60	   -
K7	1.35	   -    1.57	1.64	   -
M0	1.44	1.56	   -    1.69	   -
M1	1.47	1.58	   -    1.70	   -
M2	1.49	1.59	   -    1.71	   -
M3	1.51	1.60	   -    1.73	   -
M4	1.54	1.59	   -	1.77	   -
M5	1.58	1.56	   -	1.80	   -
M6	1.68	1.55	   -	   -	   -
M7	1.75	1.65	   -	   -	   -
M8	1.85	1.90	   -	   -	   -
M9     -    2.50       -       -       -
