III	O5	0	-0.32
III	O6	0	-0.32
III	O7	0	-0.32
III	O8	0	-0.31
III	O9	0	-0.31
III	B0	1	-0.3	-0.24 ± 0.00
III	B1	1	-0.26	-0.17 ± 0.00
III	B2	1	-0.24	-0.16 ± 0.00
III	B3	0	-0.2
III	B4	0	-0.174
III	B5	5	-0.16	-0.13 ± 0.04
III	B6	3	-0.144	-0.12 ± 0.00
III	B7	7	-0.12	-0.08 ± 0.04
III	B8	19	-0.09	-0.06 ± 0.05
III	B9	24	-0.06	0.02 ± 0.25
III	A0	10	0.0	0.09 ± 0.33
III	A1	4	0.053	0.12 ± 0.10
III	A2	22	0.089	0.15 ± 0.06
III	A3	34	0.115	0.21 ± 0.18
III	A4	12	0.133	0.19 ± 0.07
III	A5	19	0.15	0.25 ± 0.14
III	A6	10	0.169	0.25 ± 0.04
III	A7	31	0.19	0.24 ± 0.05
III	A8	13	0.214	0.29 ± 0.05
III	A9	19	0.24	0.31 ± 0.05
III	F0	43	0.27	0.33 ± 0.07
III	F1	8	0.302	0.34 ± 0.05
III	F2	48	0.337	0.38 ± 0.06
III	F3	11	0.373	0.43 ± 0.18
III	F4	13	0.411	0.39 ± 0.05
III	F5	34	0.45	0.49 ± 0.12
III	F6	14	0.489	0.48 ± 0.05
III	F7	2	0.529	0.57 ± 0.05
III	F8	11	0.568	0.67 ± 0.21
III	F9	2	0.609	0.60 ± 0.09
III	G0	53	0.65	0.83 ± 0.19
III	G1	3	0.692	0.68 ± 0.12
III	G2	18	0.733	0.66 ± 0.10
III	G3	9	0.772	0.73 ± 0.14
III	G4	9	0.808	0.85 ± 0.17
III	G5	523	0.84	0.97 ± 0.10
III	G6	55	0.868	0.91 ± 0.08
III	G7	39	0.895	0.95 ± 0.07
III	G8	306	0.928	0.95 ± 0.10
III	G9	135	0.971	1.00 ± 0.10
III	K0	2194	1.03	1.06 ± 0.10
III	K1	565	1.108	1.11 ± 0.10
III	K2	801	1.198	1.20 ± 0.12
III	K3	197	1.291	1.32 ± 0.12
III	K4	105	1.378	1.42 ± 0.10
III	K5	219	1.45	1.44 ± 0.16
III	K6	2	1.5	1.47 ± 0.19
III	K7	21	1.531	1.54 ± 0.17
III	K8	6	1.549	1.61 ± 0.02
III	K9	0	1.56
III	M0	56	1.57	1.58 ± 0.13
III	M1	39	1.584	1.61 ± 0.04
III	M2	51	1.608	1.60 ± 0.15
III	M3	31	1.649	1.56 ± 0.12
III	M4	32	1.711	1.50 ± 0.10
III	M5	19	1.8	1.42 ± 0.10
III	M6	20	1.923	1.30 ± 0.15
III	M7	9	2.084	1.26 ± 0.15
III	M8	5	2.291	1.35 ± 0.13
III	M9	1	2.547	2.10 ± 0.00
V	O5	0	-0.33
V	O6	0	-0.31
V	O7	0	-0.306
V	O8	2	-0.309	0.08 ± 0.54
V	O9	1	-0.31	0.31 ± 0.00
V	B0	7	-0.3	0.01 ± 0.34
V	B1	3	-0.273	-0.16 ± 0.08
V	B2	12	-0.24	-0.14 ± 0.07
V	B3	20	-0.211	-0.13 ± 0.07
V	B4	12	-0.188	-0.09 ± 0.07
V	B5	25	-0.17	-0.07 ± 0.07
V	B6	14	-0.156	-0.07 ± 0.07
V	B7	17	-0.138	-0.08 ± 0.07
V	B8	128	-0.11	0.01 ± 0.17
V	B9	362	-0.067	0.00 ± 0.09
V	A0	1060	-0.02	0.09 ± 0.10
V	A1	259	0.018	0.09 ± 0.08
V	A2	849	0.05	0.19 ± 0.10
V	A3	494	0.083	0.22 ± 0.09
V	A4	78	0.116	0.19 ± 0.07
V	A5	392	0.15	0.28 ± 0.09
V	A6	47	0.183	0.24 ± 0.08
V	A7	90	0.215	0.25 ± 0.07
V	A8	43	0.245	0.28 ± 0.05
V	A9	112	0.274	0.33 ± 0.07
V	F0	1026	0.3	0.36 ± 0.07
V	F1	35	0.324	0.37 ± 0.09
V	F2	984	0.35	0.41 ± 0.05
V	F3	454	0.379	0.44 ± 0.04
V	F4	165	0.41	0.46 ± 0.08
V	F5	2013	0.44	0.47 ± 0.06
V	F6	512	0.467	0.51 ± 0.04
V	F7	501	0.493	0.54 ± 0.05
V	F8	1845	0.52	0.53 ± 0.07
V	F9	137	0.55	0.57 ± 0.06
V	G0	1826	0.58	0.60 ± 0.08
V	G1	232	0.607	0.60 ± 0.04
V	G2	383	0.63	0.62 ± 0.08
V	G3	379	0.649	0.64 ± 0.05
V	G4	97	0.665	0.67 ± 0.05
V	G5	1567	0.68	0.68 ± 0.11
V	G6	120	0.696	0.72 ± 0.05
V	G7	36	0.715	0.73 ± 0.09
V	G8	215	0.74	0.77 ± 0.08
V	G9	67	0.772	0.82 ± 0.08
V	K0	608	0.81	0.81 ± 0.16
V	K1	102	0.854	0.86 ± 0.12
V	K2	219	0.91	0.93 ± 0.16
V	K3	133	0.985	1.00 ± 0.09
V	K4	69	1.069	1.14 ± 0.21
V	K5	198	1.15	1.13 ± 0.21
V	K6	9	1.217	1.36 ± 0.17
V	K7	132	1.272	1.24 ± 0.17
V	K8	50	1.318	1.15 ± 0.13
V	K9	0	1.359
V	M0	149	1.4	1.34 ± 0.18
V	M1	48	1.444	1.40 ± 0.15
V	M2	57	1.49	1.47 ± 0.14
V	M3	27	1.539	1.47 ± 0.12
V	M4	15	1.589	1.58 ± 0.08
V	M5	14	1.64	1.63 ± 0.11
V	M6	2	1.692	1.55 ± 0.02
V	M7	1	1.743	1.21 ± 0.00
V	M8	1	1.793	1.47 ± 0.00
V	M9	2	1.842	0.96 ± 0.61
