Code	Spec	M	B-V	
0	O0	-2.188	-1.377	
1	O1	-3.227	-1.160	
2	O2	-4.091	-0.972	
3	O3	-4.795	-0.811	
4	O4	-5.355	-0.674	
5	O5	-5.784	-0.558	
6	O6	-6.099	-0.463	
7	O7	-6.313	-0.384	
8	O8	-6.442	-0.321	
9	O9	-6.500	-0.270	
10	B0	-6.503	-0.229	
11	B1	-6.464	-0.197	
12	B2	-6.400	-0.170	
13	B3	-6.325	-0.146	
14	B4	-6.253	-0.124	
15	B5	-6.200	-0.100	
16	B6	-6.177	-0.074	
17	B7	-6.179	-0.049	
18	B8	-6.200	-0.030	
19	B9	-6.236	-0.020	
20	A0	-6.300	-0.010	
21	A1	-6.400	0.008	
22	A2	-6.500	0.030	
23	A3	-6.562	0.052	
24	A4	-6.590	0.073	
25	A5	-6.600	0.090	
26	A6	-6.604	0.104	
27	A7	-6.605	0.116	
28	A8	-6.604	0.130	
29	A9	-6.602	0.147	
30	F0	-6.600	0.170	
31	F1	-6.599	0.200	
32	F2	-6.600	0.230	
33	F3	-6.605	0.254	
34	F4	-6.607	0.281	
35	F5	-6.600	0.320	
36	F6	-6.578	0.381	
37	F7	-6.543	0.462	
38	F8	-6.500	0.560	
39	F9	-6.452	0.667	
40	G0	-6.400	0.760	
41	G1	-6.348	0.823	
42	G2	-6.300	0.870	
43	G3	-6.261	0.920	
44	G4	-6.229	0.972	
45	G5	-6.200	1.020	
46	G6	-6.171	1.060	
47	G7	-6.139	1.097	
48	G8	-6.100	1.140	
49	G9	-6.053	1.194	
50	K0	-6.000	1.250	
51	K1	-5.947	1.301	
52	K2	-5.900	1.360	
53	K3	-5.864	1.440	
54	K4	-5.834	1.527	
55	K5	-5.800	1.600	
56	K6	-5.757	1.644	
57	K7	-5.709	1.663	
58	K8	-5.663	1.668	
59	K9	-5.624	1.667	
60	M0	-5.600	1.670	
61	M1	-5.594	1.685	
62	M2	-5.600	1.710	
63	M3	-5.609	1.740	
64	M4	-5.612	1.772	
65	M5	-5.600	1.800	
66	M6	-5.564	1.821	
67	M7	-5.496	1.830	
68	M8	-5.386	1.823	
69	M9	-5.225	1.795	
