hip	spect	ext	sigma_ext
6	M0V:	-0.06	0.02
8	M6-M8.5III:	-1.07	0.25
20	G0V:	-0.06	0.02
24	G0V	-0.05	0.02
44	K2III:	-0.09	0.02
46	K1III	-0.07	0.02
51	K0III:	-0.12	0.02
57	K2V	-0.05	0.01
58	G0V:	-0.06	0.01
61	K5III:	-0.37	0.02
64	K2III	-0.04	0.01
80	G2V	-0.06	0.02
81	G5V:	-0.04	0.00
88	G8III	-0.02	0.00
111	M2V:	-0.18	0.02
112	M1.5V:	-0.08	0.01
135	G5V:	-0.06	0.02
136	K2III-IV	-0.04	0.01
141	K5III:	-0.10	0.03
142	K0V:	-0.08	0.01
149	K3V:	-0.05	0.01
150	K1III	-0.05	0.02
158	K0III	-0.03	0.01
176	K0V:	-0.28	0.02
179	G0V	-0.05	0.00
191	M3V:	-0.05	0.02
197	K0III:	-0.08	0.02
206	G0V:	-0.14	0.02
259	M0III:	-0.11	0.03
302	M4III:	-0.08	0.01
307	M0V:	-0.14	0.02
346	K1III	-0.08	0.02
359	G3/G5III/IV	-0.17	0.04
371	M5III:	-0.78	0.00
376	K0III:	-0.15	0.02
377	B8III	-0.01	0.00
379	K1III	-0.06	0.01
381	A2V:	-0.06	0.01
413	G0V	-0.04	0.01
436	K5V	-0.07	0.02
450	K7III:	-0.33	0.04
451	G0V:	-0.12	0.02
454	K0III	-0.04	0.01
468	K0III	-0.04	0.01
492	G0V:	-0.07	0.02
506	A2V:	-0.09	0.01
526	F0V:	-0.04	0.01
536	M6III:	-0.53	0.09
539	F8V:	-0.09	0.02
544	K0V	-0.06	0.00
553	G2/G3V	-0.05	0.02
590	M5III:	-0.25	0.05
616	K0V	-0.01	0.00
633	K2III	-0.07	0.02
635	B8III	-0.06	0.01
663	G0V:	-0.03	0.01
691	F5V:	-0.08	0.01
705	G2V	-0.04	0.01
716	K0III	-0.05	0.00
722	G0V:	-0.04	0.01
731	M1V:	-0.18	0.02
747	G5V:	-0.22	0.02
749	K2III	-0.23	0.03
759	G2III	-0.09	0.01
770	G0III:	-0.16	0.02
774	K1III	-0.08	0.02
801	G2/G3V	-0.04	0.01
806	K5III:	-0.28	0.02
808	G5V:	-0.14	0.02
809	K0III	-0.07	0.01
822	F5V:	-0.07	0.01
840	K1III	-0.14	0.02
846	G2V	-0.05	0.00
852	M4III:	-0.18	0.02
854	G0V:	-0.11	0.02
867	G5V:	-0.11	0.02
873	K0III	-0.03	0.00
875	G2V	-0.04	0.00
881	K0III	-0.08	0.01
889	G5V:	-0.11	0.01
892	K2III:	-0.10	0.02
893	M3III	-0.35	0.02
897	M2V:	-0.07	0.02
898	M2V:	-0.09	0.02
918	K0III:	-0.03	0.01
919	K0V	-0.06	0.02
921	G0V:	-0.06	0.00
925	K2III:	-0.08	0.02
928	K2III	-0.05	0.01
929	G4V	-0.05	0.00
932	K0III	-0.04	0.01
936	K2III:	-0.08	0.02
948	K5V	-0.08	0.00
960	G1V	-0.05	0.00
969	K0III	-0.04	0.01
999	K0V:	-0.07	0.02
1000	K0V	-0.10	0.00
1019	K0III	-0.05	0.01
1031	K0V	-0.04	0.00
1057	K1III	-0.06	0.01
1078	K7V:	-0.08	0.02
1079	K2III	-0.16	0.03
1087	K2III:	-0.20	0.05
1111	G5V	-0.05	0.00
1124	M4III:	-0.09	0.01
1128	G5V:	-0.04	0.01
1158	M3III	-0.05	0.01
1160	K2III:	-0.13	0.01
1168	M2III	-0.04	0.00
1179	K2III:	-0.14	0.02
1191	B9V	-0.02	0.01
1192	M0III:	-0.07	0.01
1193	A1V:	-0.02	0.00
1203	G0V	-0.05	0.02
1215	A1V	-0.02	0.00
1218	K0III	-0.12	0.02
1224	K3V:	-0.09	0.02
1236	M7/M8III	-1.11	0.11
1239	G5V:	-0.20	0.03
1269	G8III	-0.09	0.01
1271	K2III:	-0.10	0.02
1290	G5V	-0.03	0.00
1321	F8V:	-0.28	0.02
1323	G1V:	-0.10	0.02
1325	M5III	-0.20	0.02
1354	G8III	-0.03	0.00
1368	M0V:	-0.03	0.00
1382	G5IV-V	-0.03	0.00
1384	K5III:	-0.30	0.04
1398	K7V:	-0.05	0.02
1409	A2V:	-0.03	0.01
1419	K0:Ib	-0.48	0.02
1429	M4II-III	-0.13	0.02
1433	G0V:	-0.14	0.02
1438	K7V:	-0.56	0.02
1444	G2V	-0.03	0.00
1450	K0III	-0.13	0.02
1476	K2III	-0.07	0.01
1477	K3III	-0.10	0.01
1486	K7Iab:	-0.14	0.01
1497	M5III:	-0.28	0.04
1498	K0III:	-0.09	0.02
1508	K0III	-0.11	0.02
1519	K0III:	-0.07	0.01
1523	F8V:	-0.06	0.02
1545	G0V:	-0.18	0.02
1547	K0III:	-0.11	0.02
1551	M3III	-0.11	0.01
1560	K0III	-0.06	0.00
1566	K5III:	-0.42	0.03
1595	K0III:	-0.05	0.01
1639	G0III:	-0.09	0.00
1644	G5III:	-0.02	0.01
1654	K0V:	-0.09	0.00
1656	K5III	-0.03	0.01
1685	G0V	-0.05	0.01
1701	K0III:	-0.09	0.03
1716	F5V:	-0.08	0.02
1725	K0III:	-0.05	0.01
1728	M5/M6Ib/II	-0.23	0.03
1766	K2III	-0.10	0.00
1772	K3III	-0.07	0.02
