0	O0	-19.264	-0.998	
1	O1	-14.421	-0.758	
2	O2	-10.824	-0.581	
3	O3	-8.282	-0.456	
4	O4	-6.604	-0.376	
5	O5	-5.600	-0.330	
6	O6	-5.078	-0.310	
7	O7	-4.848	-0.306	
8	O8	-4.719	-0.309	
9	O9	-4.500	-0.310	
10	B0	-4.000	-0.300	
11	B1	-3.135	-0.273	
12	B2	-2.250	-0.240	
13	B3	-1.692	-0.211	
14	B4	-1.398	-0.188	
15	B5	-1.200	-0.170	
16	B6	-0.959	-0.156	
17	B7	-0.643	-0.138	
18	B8	-0.250	-0.110	
19	B9	0.207	-0.067	
20	A0	0.650	-0.020	
21	A1	1.006	0.018	
22	A2	1.300	0.050	
23	A3	1.566	0.083	
24	A4	1.790	0.116	
25	A5	1.950	0.150	
26	A6	2.034	0.183	
27	A7	2.090	0.215	
28	A8	2.178	0.245	
29	A9	2.361	0.274	
30	F0	2.700	0.300	
31	F1	3.195	0.324	
32	F2	3.600	0.350	
33	F3	3.694	0.379	
34	F4	3.594	0.410	
35	F5	3.500	0.440	
36	F6	3.567	0.467	
37	F7	3.761	0.493	
38	F8	4.000	0.520	
39	F9	4.216	0.550	
40	G0	4.400	0.580	
41	G1	4.557	0.607	
42	G2	4.700	0.630	
43	G3	4.838	0.649	
44	G4	4.973	0.665	
45	G5	5.100	0.680	
46	G6	5.221	0.696	
47	G7	5.349	0.715	
48	G8	5.500	0.740	
49	G9	5.686	0.772	
50	K0	5.900	0.810	
51	K1	6.133	0.854	
52	K2	6.400	0.910	
53	K3	6.712	0.985	
54	K4	7.041	1.069	
55	K5	7.350	1.150	
56	K6	7.614	1.217	
57	K7	7.857	1.272	
58	K8	8.112	1.318	
59	K9	8.415	1.359	
60	M0	8.800	1.400	
61	M1	9.295	1.444	
62	M2	9.900	1.490	
63	M3	10.607	1.539	
64	M4	11.410	1.589	
65	M5	12.300	1.640	
66	M6	13.271	1.692	
67	M7	14.315	1.743	
68	M8	15.424	1.793	
69	M9	16.593	1.842	
