|name      |ra           |dec          |parallax|spect_type|bv_color|
|HIP 48752 |09 56 40.1425|-89 46 56.834|    4.17|A0IV      |   0.097|
|HIP 71348 |14 35 30.7958|-89 46 18.106|    2.08|M4III     |   1.698|
|HIP 42708 |08 42 04.4511|-89 27 37.806|    2.39|M1III     |   1.712|
|HIP 78866 |16 05 55.4426|-89 18 30.416|   11.95|F2/F3V    |   0.412|
|HIP 22645 |04 52 20.1908|-89 16 26.258|    4.42|A3m...    |   0.260|
|HIP 54065 |11 03 48.6571|-89 14 21.027|    9.18|F0IV/V    |   0.331|
|HIP 3560  |00 45 29.9035|-89 10 08.371|    7.74|G2V:      |   0.720|
|HIP 90987 |18 33 32.5319|-89 08 14.841|    2.96|K0III+... |   1.053|
|HIP 40104 |08 11 32.4667|-89 00 15.717|    5.42|A7III     |   0.291|
|HIP 104382|21 08 46.0141|-88 57 23.440|   12.07|F0III     |   0.283|
