Spec Code V     III     Ib      Iab     Ia
O0	0	-0.998	-1.034	-1.377	-1.377	-1.377
O1	1	-0.758	-0.728	-1.160	-1.160	-1.160
O2	2	-0.581	-0.524	-0.972	-0.972	-0.972
O3	3	-0.456	-0.402	-0.811	-0.811	-0.811
O4	4	-0.376	-0.340	-0.674	-0.674	-0.674
O5	5	-0.330	-0.320	-0.558	-0.558	-0.558
O6	6	-0.310	-0.320	-0.463	-0.463	-0.463
O7	7	-0.306	-0.320	-0.384	-0.384	-0.384
O8	8	-0.309	-0.310	-0.321	-0.321	-0.321
O9	9	-0.310	-0.310	-0.270	-0.270	-0.270
B0	10	-0.300	-0.300	-0.229	-0.229	-0.229
B1	11	-0.273	-0.260	-0.197	-0.197	-0.197
B2	12	-0.240	-0.240	-0.170	-0.170	-0.170
B3	13	-0.211	-0.200	-0.146	-0.146	-0.146
B4	14	-0.188	-0.174	-0.124	-0.124	-0.124
B5	15	-0.170	-0.160	-0.100	-0.100	-0.100
B6	16	-0.156	-0.144	-0.074	-0.074	-0.074
B7	17	-0.138	-0.120	-0.049	-0.049	-0.049
B8	18	-0.110	-0.090	-0.030	-0.030	-0.030
B9	19	-0.067	-0.060	-0.020	-0.020	-0.020
A0	20	-0.020	0.000	-0.010	-0.010	-0.010
A1	21	0.018	0.053	0.008	0.008	0.008
A2	22	0.050	0.089	0.030	0.030	0.030
A3	23	0.083	0.115	0.052	0.052	0.052
A4	24	0.116	0.133	0.073	0.073	0.073
A5	25	0.150	0.150	0.090	0.090	0.090
A6	26	0.183	0.169	0.104	0.104	0.104
A7	27	0.215	0.190	0.116	0.116	0.116
A8	28	0.245	0.214	0.130	0.130	0.130
A9	29	0.274	0.240	0.147	0.147	0.147
F0	30	0.300	0.270	0.170	0.170	0.170
F1	31	0.324	0.302	0.200	0.200	0.200
F2	32	0.350	0.337	0.230	0.230	0.230
F3	33	0.379	0.373	0.254	0.254	0.254
F4	34	0.410	0.411	0.281	0.281	0.281
F5	35	0.440	0.450	0.320	0.320	0.320
F6	36	0.467	0.489	0.381	0.381	0.381
F7	37	0.493	0.529	0.462	0.462	0.462
F8	38	0.520	0.568	0.560	0.560	0.560
F9	39	0.550	0.609	0.667	0.667	0.667
G0	40	0.580	0.650	0.760	0.760	0.760
G1	41	0.607	0.692	0.823	0.823	0.823
G2	42	0.630	0.733	0.870	0.870	0.870
G3	43	0.649	0.772	0.920	0.920	0.920
G4	44	0.665	0.808	0.972	0.972	0.972
G5	45	0.680	0.840	1.020	1.020	1.020
G6	46	0.696	0.868	1.060	1.060	1.060
G7	47	0.715	0.895	1.097	1.097	1.097
G8	48	0.740	0.928	1.140	1.140	1.140
G9	49	0.772	0.971	1.194	1.194	1.194
K0	50	0.810	1.030	1.250	1.250	1.250
K1	51	0.854	1.108	1.301	1.301	1.301
K2	52	0.910	1.198	1.360	1.360	1.360
K3	53	0.985	1.291	1.440	1.440	1.440
K4	54	1.069	1.378	1.527	1.527	1.527
K5	55	1.150	1.450	1.600	1.600	1.600
K6	56	1.217	1.500	1.644	1.644	1.644
K7	57	1.272	1.531	1.663	1.663	1.663
K8	58	1.318	1.549	1.668	1.668	1.668
K9	59	1.359	1.560	1.667	1.667	1.667
M0	60	1.400	1.570	1.670	1.670	1.670
M1	61	1.444	1.584	1.685	1.685	1.685
M2	62	1.490	1.608	1.710	1.710	1.710
M3	63	1.539	1.649	1.740	1.740	1.740
M4	64	1.589	1.711	1.772	1.772	1.772
M5	65	1.640	1.800	1.800	1.800	1.800
M6	66	1.692	1.923	1.821	1.821	1.821
M7	67	1.743	2.084	1.830	1.830	1.830
M8	68	1.793	2.291	1.823	1.823	1.823
M9	69	1.842	2.547	1.795	1.795	1.795
