Spec	III	    V
O5.0	0.193	-0.235	
O6.0	0.035	-0.234	
O7.0	-0.107	-0.250
O8.0	-0.019	-0.265	
O9.0	-0.198	-0.206	
B0.0	-0.220	-0.228	
B1.0	-0.172	-0.190	
B2.0	-0.183	-0.159	
B3.0	-0.161	-0.163	
B4.0	-0.137	-0.148	
B5.0	-0.128	-0.140	
B6.0	-0.124	-0.110	
B7.0	-0.124	-0.112	
B8.0	-0.115	-0.095	
B9.0	-0.090	-0.077	
A0.0	-0.051	-0.030	
A1.0	-0.009	0.004	
A2.0	0.058	0.050	
A3.0	0.098	0.084	
A4.0	0.104	0.102	
A5.0	0.133	0.171	
A6.0	0.220	0.172
A7.0	0.171	0.173	
A8.0	0.185	0.158	
A9.0	0.264	0.229	
F0.0	0.235	0.273	
F1.0	0.335	0.310
F2.0	0.314	0.361	
F3.0	0.332	0.410	
F4.0	0.350	0.410	
F5.0	0.399	0.420	
F6.0	0.431	0.475	
F7.0	0.265	0.501	
F8.0	0.500	0.469	
F9.0	0.583	0.557	
G0.0	0.547	0.512	
G1.0	0.613	0.567	
G2.0	0.542	0.587	
G3.0	0.560	0.610	
G4.0	0.669	0.645	
G5.0	0.553	0.637	
G6.0	0.755	0.679	
G7.0	0.855	0.640	
G8.0	0.855	0.698	
G9.0	0.943	0.699	
K0.0	0.830	0.761	
K1.0	0.995	0.772	
K2.0	1.012	0.850	
K3.0	1.215	0.904	
K4.0	1.226	1.024	
K5.0	1.418	1.055	
K6.0	1.342	1.060
K7.0	1.054	1.064	
K8.0	0.983	1.053	
K9.0	1.456	1.100	
M0.0	1.207	1.146	
M1.0	1.577	1.036	
M2.0	1.567	1.388	
M3.0	1.497	1.160	
M4.0	1.398	1.542	
M5.0	1.295	1.867	
M6.0	1.195	-
