Spec	III	    V
O5.0	0.193	-0.235	
O6.0	0.035	-0.234	
O7.0	-0.107	0.018	
O8.0	-0.019	-0.196	
O9.0	-0.198	-0.198	
B0.0	-0.191	-0.200	
B1.0	-0.172	-0.198	
B2.0	-0.177	-0.169	
B3.0	-0.149	-0.156	
B4.0	-0.137	-0.147	
B5.0	-0.119	-0.135	
B6.0	-0.116	-0.109	
B7.0	-0.112	-0.104	
B8.0	-0.094	-0.088	
B9.0	-0.042	-0.067	
A0.0	-0.045	-0.015	
A1.0	-0.009	0.010	
A2.0	0.063	0.066	
A3.0	0.102	0.100	
A4.0	0.114	0.109	
A5.0	0.146	0.188	
A6.0	0.220	0.155	
A7.0	0.179	0.184	
A8.0	0.192	0.232	
A9.0	0.264	0.254	
F0.0	0.249	0.289	
F1.0	0.335	0.290	
F2.0	0.348	0.377	
F3.0	0.332	0.421	
F4.0	0.350	0.434	
F5.0	0.413	0.441	
F6.0	0.443	0.488	
F7.0	0.265	0.514	
F8.0	0.509	0.485	
F9.0	0.583	0.566	
G0.0	0.548	0.535	
G1.0	0.613	0.582	
G2.0	0.548	0.600	
G3.0	0.593	0.620	
G4.0	0.699	0.661	
G5.0	0.601	0.651	
G6.0	0.792	0.692	
G7.0	0.827	0.714	
G8.0	0.894	0.717	
G9.0	0.970	0.794	
K0.0	0.901	0.777	
K1.0	1.034	0.725	
K2.0	1.059	0.868	
K3.0	1.253	0.925	
K4.0	1.294	1.031	
K5.0	1.447	1.094	
K6.0	1.342	1.185	
K7.0	1.094	1.100	
K8.0	1.024	1.053	
K9.0	1.456	1.104	
M0.0	1.278	1.154	
M1.0	1.595	1.271	
M2.0	1.584	1.405	
M3.0	1.523	1.317	
M4.0	1.456	1.542	
M5.0	1.337	1.867	
M6.0	1.224	1.411	
M7.0	1.221	1.464	
