Spec	III	V	
O5	-0.320	-0.330	
O6	-0.320	-0.310	
O7	-0.320	-0.306	
O8	-0.310	-0.309	
O9	-0.310	-0.310	
B0	-0.300	-0.300	
B1	-0.260	-0.273	
B2	-0.240	-0.240	
B3	-0.200	-0.211	
B4	-0.174	-0.188	
B5	-0.160	-0.170	
B6	-0.144	-0.156	
B7	-0.124	-0.138	
B8	-0.115	-0.110	
B9	-0.090	-0.077	
A0	-0.051	-0.030	
A1	-0.009	0.004	
A2	0.058	0.050	
A3	0.098	0.083	
A4	0.104	0.102	
A5	0.133	0.150	
A6	0.169	0.172	
A7	0.171	0.173	
A8	0.185	0.158	
A9	0.240	0.229	
F0	0.235	0.273	
F1	0.302	0.310	
F2	0.314	0.350	
F3	0.332	0.379	
F4	0.350	0.410	
F5	0.399	0.420	
F6	0.431	0.467	
F7	0.265	0.493	
F8	0.500	0.469	
F9	0.583	0.550	
G0	0.547	0.512	
G1	0.613	0.567	
G2	0.542	0.587	
G3	0.560	0.610	
G4	0.669	0.645	
G5	0.553	0.637	
G6	0.755	0.679	
G7	0.855	0.640	
G8	0.855	0.698	
G9	0.943	0.699	
K0	0.830	0.761	
K1	0.995	0.772	
K2	1.012	0.850	
K3	1.215	0.904	
K4	1.226	1.024	
K5	1.418	1.055	
K6	1.342	1.060	
K7	1.054	1.064	
K8	0.983	1.053	
K9	1.456	1.100	
M0	1.207	1.146	
M1	1.577	1.036	
M2	1.567	1.388	
M3	1.497	1.160	
M4	1.398	1.542	
M5	1.295	-
