Spect    V     III      Ib     Iab      Ia
O5	-0.330	-0.320	-0.558	-0.558	-0.558
O6	-0.310	-0.320	-0.463	-0.463	-0.463
O7	-0.306	-0.320	-0.384	-0.384	-0.384
O8	-0.309	-0.310	-0.321	-0.321	-0.321
O9	-0.310	-0.310	-0.270	-0.270	-0.270
B0	-0.300	-0.300	-0.229	-0.229	-0.229
B1	-0.273	-0.260	-0.197	-0.197	-0.197
B2	-0.240	-0.240	-0.170	-0.170	-0.170
B3	-0.211	-0.200	-0.146	-0.146	-0.146
B4	-0.188	-0.174	-0.124	-0.124	-0.124
B5	-0.170	-0.160	-0.100	-0.100	-0.100
B6	-0.156	-0.144	-0.074	-0.074	-0.074
B7	-0.138	-0.120	-0.049	-0.049	-0.049
B8	-0.110	-0.090	-0.030	-0.030	-0.030
B9	-0.067	-0.060	-0.020	-0.020	-0.020
A0	-0.020	0.000	-0.010	-0.010	-0.010
A1	0.018	0.053	0.008	0.008	0.008
A2	0.050	0.089	0.030	0.030	0.030
A3	0.083	0.115	0.052	0.052	0.052
A4	0.116	0.133	0.073	0.073	0.073
A5	0.150	0.150	0.090	0.090	0.090
A6	0.183	0.169	0.104	0.104	0.104
A7	0.215	0.190	0.116	0.116	0.116
A8	0.245	0.214	0.130	0.130	0.130
A9	0.274	0.240	0.147	0.147	0.147
F0	0.300	0.270	0.170	0.170	0.170
F1	0.324	0.302	0.200	0.200	0.200
F2	0.350	0.337	0.230	0.230	0.230
F3	0.379	0.373	0.254	0.254	0.254
F4	0.410	0.411	0.281	0.281	0.281
F5	0.440	0.450	0.320	0.320	0.320
F6	0.467	0.489	0.381	0.381	0.381
F7	0.493	0.529	0.462	0.462	0.462
F8	0.520	0.568	0.560	0.560	0.560
F9	0.550	0.609	0.667	0.667	0.667
G0	0.580	0.650	0.760	0.760	0.760
G1	0.607	0.692	0.823	0.823	0.823
G2	0.630	0.733	0.870	0.870	0.870
G3	0.649	0.772	0.920	0.920	0.920
G4	0.665	0.808	0.972	0.972	0.972
G5	0.680	0.840	1.020	1.020	1.020
G6	0.696	0.868	1.060	1.060	1.060
G7	0.715	0.895	1.097	1.097	1.097
G8	0.740	0.928	1.140	1.140	1.140
G9	0.772	0.971	1.194	1.194	1.194
K0	0.810	1.030	1.250	1.250	1.250
K1	0.854	1.108	1.301	1.301	1.301
K2	0.910	1.198	1.360	1.360	1.360
K3	0.985	1.291	1.440	1.440	1.440
K4	1.069	1.378	1.527	1.527	1.527
K5	1.150	1.450	1.600	1.600	1.600
K6	1.217	1.500	1.644	1.644	1.644
K7	1.272	1.531	1.663	1.663	1.663
K8	1.318	1.549	1.668	1.668	1.668
K9	1.359	1.560	1.667	1.667	1.667
M0	1.400	1.570	1.670	1.670	1.670
M1	1.444	1.584	1.685	1.685	1.685
M2	1.490	1.608	1.710	1.710	1.710
M3	1.539	1.649	1.740	1.740	1.740
M4	1.589	1.711	1.772	1.772	1.772
M5	1.640	1.800	1.800	1.800	1.800
M6	1.692	1.923	1.821	1.821	1.821
M7	1.743	2.084	1.830	1.830	1.830
M8	1.793	2.291	1.823	1.823	1.823
M9	1.842	2.547	1.795	1.795	1.795
